name,price,location,url,station,floor_plan,area,age
≪本日見学出来ます≫デザイナーズ物件♪◆ペット可♪新規リノベーション済♪,5290万円,東京都府中市紅葉丘２,https://suumo.jp/ms/chuko/tokyo/sc_fuchu/nc_21210987/,西武多摩川線「多磨」徒歩4分,3LDK,90.02m2（壁芯）,2003年7月
ペット可♪フルリフォーム済み♪駅徒歩3分♪南向き♪内装工事済み♪内覧可♪,5180万円,東京都府中市本町１,https://suumo.jp/ms/chuko/tokyo/sc_fuchu/nc_21210634/,ＪＲ南武線「府中本町」徒歩3分,3LDK,73.04m2（22.09坪）（壁芯）,2001年5月
【7/12内覧会枠募集中】即日ご案内可能です♪ ＼見学予約はこちらから／,5290万円,東京都府中市紅葉丘２,https://suumo.jp/ms/chuko/tokyo/sc_fuchu/nc_21251938/,西武多摩川線「多磨」徒歩4分,3LDK,90.02m2（壁芯）,2003年7月
選べるe-GIFT20000円分＞店舗初来場＆アンケート回答でプレゼント,5290万円,東京都府中市紅葉丘２,https://suumo.jp/ms/chuko/tokyo/sc_fuchu/nc_21051135/,西武多摩川線「多磨」徒歩4分,3LDK,90.02m2（壁芯）,2003年7月
駅チカ×ペット飼育可～歴史と商業の街で過ごすゆったり府中ライフ～,5180万円,東京都府中市本町１,https://suumo.jp/ms/chuko/tokyo/sc_fuchu/nc_20697502/,ＪＲ武蔵野線「府中本町」徒歩3分,3LDK,73.04m2（22.09坪）（壁芯）,2001年6月
JR武蔵野線「府中本町」駅徒歩3分、京王線「府中」駅徒歩12分の好立地！,5180万円,東京都府中市本町１,https://suumo.jp/ms/chuko/tokyo/sc_fuchu/nc_20777063/,ＪＲ南武線「府中本町」徒歩3分,3LDK,73.04m2（壁芯）,2001年5月
本町１（府中本町駅） 5180万円,5180万円,東京都府中市本町１,https://suumo.jp/ms/chuko/tokyo/sc_fuchu/nc_20698499/,ＪＲ武蔵野線「府中本町」徒歩3分,3LDK,73.04m2（壁芯）,2001年5月
【角住戸×南面バルコニー】JR南武線・武蔵野線「府中本町」駅徒歩5分♪,4580万円,東京都府中市矢崎町１-5-4,https://suumo.jp/ms/chuko/tokyo/sc_fuchu/nc_20355794/,ＪＲ南武線「府中本町」徒歩5分,3LDK,66.48m2（壁芯）,2009年10月
大京穴吹不動産のリノベーション物件×10階部分最上階,4898万円,東京都府中市浅間町３,https://suumo.jp/ms/chuko/tokyo/sc_fuchu/nc_20725442/,京王線「府中」バス18分停歩5分,3LDK,86.28m2（壁芯）,2001年5月
■多摩川の自然に寄り添う、水と緑に恵まれた暮らし！,5280万円,東京都調布市染地２-8-219,https://suumo.jp/ms/chuko/tokyo/sc_chofu/nc_20988160/,京王線「調布」バス13分停歩1分,1LDK+S（納戸）,70.38m2（21.28坪）（壁芯）,2016年7月
